"sp","ba","Latin","n","prop_ba","prop_n","adj_ba","adj_n"
"sponmo",6.06314187453685,"Spondias mombin",163,0.00383853250082881,0.000784713964538632,260.516225871237,1274.34969325153
"sponra",7.19326778521087,"Spondias radlkoferi",234,0.00455400727082705,0.00112652188774258,219.586825520898,887.688034188034
"stemgr",0.000191637151868977,"Tabernaemontana grandiflora",1,1.21324133763821e-07,4.814196101464e-06,8242383.18442623,207719
"sterap",7.39007914018031,"Sterculia apetala",50,0.0046786071562025,0.0002407098050732,213.738825811499,4154.38
"stylst",0.387385077725177,"Stylogyne turbacensis",740,0.000245250769642888,0.00356250511508336,4077.45917150886,280.701351351351
"swars1",8.30198766894149,"Swartzia simplex var. grandiflora",2931,0.00525593003563786,0.014110408773391,190.261284533754,70.8696690549301
"swars2",5.62059671299994,"Swartzia simplex var. continentalis",2955,0.00355836026986419,0.0142259494798261,281.028317584651,70.2940778341794
"sympgl",0.917721260568487,"Symphonia globulifera",150,0.000581002879082854,0.0007221294152196,1721.16186683714,1384.79333333333
"tab1gu",7.7354352059876,"Handroanthus guayacan",66,0.00489724965383676,0.000317736942696624,204.196247013167,3147.25757575758
"tab1ro",5.58016363015008,"Tabebuia rosea",250,0.0035327623693302,0.001203549025366,283.064609349764,830.876
"tab2ar",29.9614680974544,"Tabernaemontana arborea",1794,0.0189683948428816,0.00863666780602641,52.7192737331317,115.785395763657
"tachve",13.0676659147127,"Tachigali panamensis",1906,0.00827304743341985,0.00917585776939038,120.874442948362,108.981636935992
"taline",0.682972032714297,"Talisia nervosa",703,0.000432384793062624,0.00338437985932919,2312.75478704258,295.475106685633
"talipr",0.514164049260793,"Talisia croatii",739,0.000325513645348446,0.00355769091898189,3072.06783583389,281.081190798376
"termam",4.12553004791616,"Terminalia amazonia",57,0.00261184407354507,0.000274409177783448,382.871247992495,3644.19298245614
"termob",7.42572993361325,"Terminalia oblonga",87,0.00470117742292302,0.000418835060827368,212.712669622717,2387.57471264368
"tet2pa",29.9989496540063,"Protium stevensonii",5199,0.0189921241528636,0.0250290055315113,52.6534047456309,39.9536449317176
"tet4jo",0.0397607820219958,"Tetrathylacium johansenii",1,2.51722716057109e-05,4.814196101464e-06,39726.2517925926,207719
"theoca",0.159126380293303,"Theobroma cacao",15,0.000100741792808823,7.221294152196e-05,9926.36692398053,13847.9333333333
"thevah",0.117705266553885,"Thevetia ahouai",82,7.45183768638632e-05,0.000394764080320048,13419.5086109684,2533.15853658537
"tocopi",0.715428611816696,"Tocoyena pittieri",7,0.00045293282514373,3.3699372710248e-05,2207.83291580306,29674.1428571429
"tratas",4.28086374047841,"Trattinnickia aspera",71,0.00271018474241149,0.000341807923203944,368.978536537038,2925.61971830986
"tremin",2.8377181771805,"Trema integerrima",51,0.00179653943066145,0.000245524001174664,556.625689886372,4072.92156862745
"tremmi",0.269852598767239,"Trema micrantha",6,0.000170841783391435,2.8885176608784e-05,5853.3690069764,34619.8333333333
"tri1gi",0.00624155920451952,"Trichanthera gigantea",2,3.95148725828315e-06,9.62839220292799e-06,253069.271045678,103859.5
"tri2pa",2.89859124723279,"Trichilia pallida",457,0.0018350777434135,0.00220008761836905,544.936040769512,454.527352297593
"tri2tu",69.3635069419479,"Trichilia tuberculata",10369,0.0439135486646467,0.0499183993760802,22.7720152528931,20.0326936059408
"tri4ga",0.0502010798080381,"Trichospermum galeottii",4,3.17819507455571e-05,1.9256784405856e-05,31464.39965268,51929.75
"tripcu",4.29501661538283,"Triplaris cumingiana",227,0.00271914482802798,0.00109282251503233,367.762683948407,915.061674008811
"tropra",0.743205788661574,"Trophis racemosa",212,0.000470518360548751,0.00102060957351037,2125.31557500483,979.806603773585
"turpoc",1.89926554669098,"Staphylea occidentalis",56,0.00120241166700962,0.000269594981681984,831.661923646318,3709.26785714286
"unonpi",4.24859879852788,"Unonopsis pittieri",690,0.00268975803446415,0.00332179531001016,371.780653570655,301.042028985507
"urerba",0.0102376650598857,"Urera baccifera",17,6.48139378529267e-06,8.1841333724888e-05,154287.801841197,12218.7647058824
"verbgi",0.000660519855417254,"Verbesina gigantea",1,4.18170477440057e-07,4.814196101464e-06,2391369.19976219,207719
"virose",17.7621713789168,"Virola sebifera",1103,0.01124510584349,0.00531005829991479,88.9275755976023,188.32184950136
"virosp",2.17148769171719,"Virola multiflora",34,0.00137475359348124,0.000163682667449776,727.40308135346,6109.38235294118
"virosu",20.8556073441179,"Virola nobilis",159,0.0132035384082177,0.000765457180132776,75.737273530981,1306.40880503145
"vismba",0.0851638644498389,"Vismia baccifera",50,5.39166439366648e-05,0.0002407098050732,18547.1484681926,4154.38
"vismbi",0.008064468341765,"Vismia billbergiana",7,5.10555821920868e-06,3.3699372710248e-05,195864.968543046,29674.1428571429
"vochfe",0.756361993296645,"Vochysia ferruginea",38,0.00047884746122366,0.000182939451855632,2088.34771190929,5466.28947368421
"xyl1ma",6.71830138748892,"Xylopia macrantha",2089,0.00425330938313387,0.0100568556559583,235.111041760896,99.4346577309718
"xyl2ol",0.0703873834036793,"Xylosma oligandra",31,4.45617576553839e-05,0.000149240079145384,22440.7665364874,6700.61290322581
"zantbe",15.3583715498465,"Zanthoxylum ekmanii",235,0.0097232770688536,0.00113133608384404,102.845984221028,883.910638297872
"zantp1",3.68795095896641,"Zanthoxylum panamense",188,0.00233481582822713,0.000905068867075231,428.299306485052,1104.88829787234
"zantpr",1.04792613889284,"Zanthoxylum acuminatum",71,0.000663434672294468,0.000341807923203944,1507.30741361698,2925.61971830986
"zuelgu",0.384289823563228,"Zuelania guidonia",25,0.00024329118599058,0.0001203549025366,4110.3009791679,8308.76
